year,month,month_num,island_system,diesel_l,diesel_cost_rs,units_kwh,oil_l,oil_cost_rs,diesel_barrel,barrel_amount,sfc_l_per_kwh,diesel_rs_per_l,fuel_cost_rs_per_kwh,total_cost_rs_per_kwh
2025,Apr,4,Eluvaitivu-Diesel,3560.0,1018160.0,9243.0,0.0,0.0,17.8,26700.0,0.3852,286.0,110.15,110.15
2025,Apr,4,Eluvaitivu-Hybrid,845.0,241670.0,8446.0,0.0,0.0,4.225,6337.499999999999,0.1,286.0,28.61,28.61
2025,Apr,4,Delft-Neduntivu,29615.0,8469890.0,99046.0,40.0,84549.36,148.075,28134.249999999996,0.299,286.0,85.51,86.37
2025,Apr,4,Nainativu,33580.0,9603880.0,106070.0,0.0,0.0,167.9,251850.0,0.3166,286.0,90.54,90.54
2025,May,5,Analaithivu,14320.0,4050340.0,39391.0,0.0,0.0,71.6,107399.99999999999,0.3635,282.84,102.82,102.82
2025,May,5,Eluvaitivu-Diesel,3330.0,948504.0,8675.0,0.0,0.0,16.65,24974.999999999996,0.3839,284.84,109.34,109.34
2025,May,5,Eluvaitivu-Hybrid,910.0,260260.0,9414.0,10.0,21137.34,4.55,6825.0,0.0967,286.0,27.65,29.89
2025,May,5,Delft-Neduntivu,32815.0,9385090.0,104525.0,0.0,0.0,164.075,31174.249999999996,0.3139,286.0,89.79,89.79
2025,May,5,Nainativu,32865.0,9294750.0,102030.0,80.0,169098.72,164.325,246487.49999999997,0.3221,282.82,91.1,92.76
2025,Jun,6,Analaithivu,14185.0,3886690.0,40152.0,0.0,0.0,70.925,106387.5,0.3533,274.0,96.8,96.8
2025,Jun,6,Eluvaitivu-Diesel,2775.0,760350.0,7152.0,0.0,0.0,13.875,20812.5,0.388,274.0,106.31,106.31
2025,Jun,6,Eluvaitivu-Hybrid,1010.0,276740.0,10114.0,0.0,0.0,5.05,7575.0,0.0999,274.0,27.36,27.36
2025,Jun,6,Delft-Neduntivu,32720.0,9357920.0,90750.0,40.0,84549.36,163.6,31084.0,0.3606,286.0,103.12,104.05
2025,Jun,6,Nainativu,34200.0,9370800.0,107130.0,0.0,0.0,171.0,256500.0,0.3192,274.0,87.47,87.47
2025,Jul,7,Analaithivu,13835.0,3892565.0,39133.0,40.0,84549.36,69.175,103762.5,0.3535,281.36,99.47,101.63
2025,Jul,7,Eluvaitivu-Diesel,3420.0,973650.0,8733.0,0.0,0.0,17.1,25650.000000000004,0.3916,284.69,111.49,111.49
2025,Jul,7,Eluvaitivu-Hybrid,910.0,249340.0,9143.0,10.0,21137.34,4.55,6825.0,0.0995,274.0,27.27,29.58
2025,Jul,7,Delft-Neduntivu,35180.0,9649520.0,94380.0,65.0,137392.71,175.9,33421.0,0.3727,274.29,102.24,103.7
2025,Jul,7,Nainativu,43090.0,12211810.0,142280.0,0.0,0.0,215.45,323175.0,0.3029,283.4,85.83,85.83
2025,Aug,8,Analaithivu,13945.0,4030105.0,38391.0,0.0,0.0,69.725,104587.49999999999,0.3632,289.0,104.98,104.98
2025,Aug,8,Eluvaitivu-Diesel,3645.0,1053405.0,9380.0,0.0,0.0,18.225,27337.500000000004,0.3886,289.0,112.3,112.3
2025,Aug,8,Eluvaitivu-Hybrid,995.0,287555.0,8872.0,0.0,0.0,4.975,7462.499999999999,0.1122,289.0,32.41,32.41
2025,Aug,8,Delft-Neduntivu,34770.0,9573480.0,94730.0,60.0,126824.04,173.85,33031.5,0.367,275.34,101.06,102.4
2025,Aug,8,Nainativu,35425.0,10237825.0,108950.0,40.0,84549.36,177.125,265687.5,0.3251,289.0,93.97,94.74
2025,Sep,9,Analaithivu,13795.0,3951205.0,39221.0,40.0,84549.36,68.975,103462.49999999999,0.3517,286.42,100.74,102.9
2025,Sep,9,Eluvaitivu-Diesel,3525.0,1008507.0,8854.0,0.0,0.0,17.625,26437.5,0.3981,286.1,113.9,113.9
2025,Sep,9,Eluvaitivu-Hybrid,1175.0,336725.0,8363.0,10.0,21137.34,5.875,8812.5,0.1405,286.57,40.26,42.79
2025,Sep,9,Delft-Neduntivu,33950.0,9811550.0,108930.0,40.0,84549.36,169.75,32252.5,0.3117,289.0,90.07,90.85
2025,Sep,9,Nainativu,34455.0,9848955.0,103290.0,0.0,0.0,172.275,258412.5,0.3336,285.85,95.35,95.35
2025,Oct,10,Analaithivu,14530.0,4049260.0,40460.0,0.0,0.0,72.65,108975.00000000001,0.3591,278.68,100.08,100.08
2025,Oct,10,Eluvaitivu-Diesel,4285.0,1195477.0,10951.0,0.0,0.0,21.425,32137.5,0.3913,278.99,109.17,109.17
2025,Oct,10,Eluvaitivu-Hybrid,1010.0,282170.0,5653.0,0.0,0.0,5.05,7575.0,0.1787,279.38,49.92,49.92
2025,Oct,10,Delft-Neduntivu,34135.0,9725905.0,112530.0,40.0,84549.36,170.675,32428.250000000004,0.3033,284.92,86.43,87.18
2025,Oct,10,Nainativu,35060.0,9765080.0,103590.0,40.0,84549.36,175.3,262950.0,0.3384,278.52,94.27,95.08
2025,Nov,11,Analaithivu,13310.0,3686870.0,37249.0,40.0,84549.36,66.55,99825.0,0.3573,277.0,98.98,101.25
2025,Nov,11,Eluvaitivu-Diesel,6315.0,1749255.0,14577.0,0.0,0.0,31.575,47362.5,0.4332,277.0,120.0,120.0
2025,Nov,11,Eluvaitivu-Hybrid,125.0,34625.0,1097.0,0.0,0.0,0.625,937.5,0.1139,277.0,31.56,31.56
2025,Nov,11,Delft-Neduntivu,27480.0,7776840.0,91560.0,50.0,105686.7,137.4,26106.0,0.3001,283.0,84.94,86.09
2025,Nov,11,Nainativu,31210.0,8645170.0,93010.0,0.0,0.0,156.05,234075.00000000003,0.3356,277.0,92.95,92.95
2025,Dec,12,Analaithivu,13560.0,3756120.0,37383.0,50.0,105686.7,67.8,101700.0,0.3627,277.0,100.48,103.3
2025,Dec,12,Eluvaitivu-Diesel,6720.0,1861440.0,15300.0,0.0,0.0,33.6,50400.0,0.4392,277.0,121.66,121.66
2025,Dec,12,Eluvaitivu-Hybrid,40.0,11080.0,261.0,0.0,0.0,0.2,300.0,0.1533,277.0,42.45,42.45
2025,Dec,12,Delft-Neduntivu,29645.0,8303675.0,95310.0,80.0,169098.72,148.225,28162.75,0.311,280.1,87.12,88.9
2025,Dec,12,Nainativu,28390.0,7864030.0,84700.0,50.0,105686.7,141.95,212924.99999999997,0.3352,277.0,92.85,94.09
